Country,Prev_Year,Prev_Year_Production,Year,Production,YOY,YOY_Perc
Azerbaijan,2005,1083074.0,2006,999343.0,-83731.0,-8.0
Belarus,2014,5562600.0,2015,5107300.0,-455300.0,-8.0
Belarus,2020,3707899.0,2021,3405055.0,-302844.0,-8.0
Belgium,2007,3189817.0,2008,2943205.0,-246612.0,-8.0
Belgium,2015,3689994.0,2016,3402787.0,-287207.0,-8.0
Belgium,2021,3871470.0,2022,3577730.0,-293740.0,-8.0
Morocco,2006,1569100.0,2007,1437215.0,-131885.0,-8.0
Nepal,2014,2817512.0,2015,2586286.78,-231225.2200000002,-8.0
Netherlands (Kingdom of the),2005,6777000.0,2006,6239600.0,-537400.0,-8.0
Netherlands (Kingdom of the),2011,7333472.0,2012,6765618.0,-567854.0,-8.0
Israel,2005,593890.0,2006,548182.0,-45708.0,-8.0
Japan,2019,2399000.0,2020,2205000.0,-194000.0,-8.0
Latvia,2009,525400.0,2010,484000.0,-41400.0,-8.0
Latvia,2012,538900.0,2013,495900.0,-43000.0,-8.0
Bosnia and Herzegovina,2009,413658.0,2010,378707.0,-34951.0,-8.0
South Africa,2008,2040000.0,2009,1866580.0,-173420.0,-9.0
Spain,2019,2259320.0,2020,2051830.0,-207490.0,-9.0
Sweden,2011,882000.0,2012,805400.0,-76600.0,-9.0
Ethiopia,2012,863348.0,2013,784993.0,-78355.0,-9.0
Ethiopia,2022,1315168.12,2023,1191046.56,-124121.56000000006,-9.0
France,2004,7255378.0,2005,6604600.0,-650778.0,-9.0
Germany,2012,10665600.0,2013,9669700.0,-995900.0,-9.0
Mexico,2001,1628450.0,2002,1483500.0,-144950.0,-9.0
Mexico,2003,1661779.0,2004,1506510.0,-155269.0,-9.0
Morocco,2015,1924430.0,2016,1743616.5,-180813.5,-9.0
Netherlands (Kingdom of the),2004,7487700.0,2005,6777000.0,-710700.0,-9.0
Hungary,2011,600000.0,2012,547710.0,-52290.0,-9.0
Iran (Islamic Republic of),2012,5069000.0,2013,4597631.0,-471369.0,-9.0
Israel,2011,621106.0,2012,565628.0,-55478.0,-9.0
Kenya,2005,2640600.0,2006,2415080.0,-225520.0,-9.0
Kenya,2006,2415080.0,2007,2192280.0,-222800.0,-9.0
Portugal,2002,811184.0,2003,737570.0,-73614.0,-9.0
